,name,url,promoted_content,query,tweet_volume,time
0,Queiroz,http://twitter.com/search?q=Queiroz,,Queiroz,573135.0,2020-06-18 13:53:02.232209-03:00
1,GRANDE DIA,http://twitter.com/search?q=%22GRANDE+DIA%22,,%22GRANDE+DIA%22,103150.0,2020-06-18 13:53:02.232209-03:00
2,Bonner,http://twitter.com/search?q=Bonner,,Bonner,38721.0,2020-06-18 13:53:02.232209-03:00
3,Landim,http://twitter.com/search?q=Landim,,Landim,10305.0,2020-06-18 13:53:02.232209-03:00
4,the last of us,http://twitter.com/search?q=%22the+last+of+us%22,,%22the+last+of+us%22,53051.0,2020-06-18 13:53:02.232209-03:00
5,Alexa,http://twitter.com/search?q=Alexa,,Alexa,67383.0,2020-06-18 13:53:02.232209-03:00
6,#EtecsContraOAssedio,http://twitter.com/search?q=%23EtecsContraOAssedio,,%23EtecsContraOAssedio,,2020-06-18 13:53:02.232209-03:00
7,Tony Montana,http://twitter.com/search?q=%22Tony+Montana%22,,%22Tony+Montana%22,,2020-06-18 13:53:02.232209-03:00
8,Keno,http://twitter.com/search?q=Keno,,Keno,,2020-06-18 13:53:02.232209-03:00
9,#Fanfare,http://twitter.com/search?q=%23Fanfare,,%23Fanfare,82651.0,2020-06-18 13:53:02.232209-03:00
10,Globo Rural,http://twitter.com/search?q=%22Globo+Rural%22,,%22Globo+Rural%22,,2020-06-18 13:53:02.232209-03:00
11,Flavinho,http://twitter.com/search?q=Flavinho,,Flavinho,,2020-06-18 13:53:02.232209-03:00
12,#6YEARS_WITH_MAMAMOO,http://twitter.com/search?q=%236YEARS_WITH_MAMAMOO,,%236YEARS_WITH_MAMAMOO,45902.0,2020-06-18 13:53:02.232209-03:00
13,Cyberpunk 2077,http://twitter.com/search?q=%22Cyberpunk+2077%22,,%22Cyberpunk+2077%22,,2020-06-18 13:53:02.232209-03:00
14,Wassef,http://twitter.com/search?q=Wassef,,Wassef,45083.0,2020-06-18 13:53:02.232209-03:00
15,Evandro,http://twitter.com/search?q=Evandro,,Evandro,,2020-06-18 13:53:02.232209-03:00
16,Tirei Curitiba,http://twitter.com/search?q=%22Tirei+Curitiba%22,,%22Tirei+Curitiba%22,,2020-06-18 13:53:02.232209-03:00
17,FlaTV,http://twitter.com/search?q=FlaTV,,FlaTV,,2020-06-18 13:53:02.232209-03:00
18,Advogado,http://twitter.com/search?q=Advogado,,Advogado,204908.0,2020-06-18 13:53:02.232209-03:00
19,#NowUnitedLetTheMusicMoveYou,http://twitter.com/search?q=%23NowUnitedLetTheMusicMoveYou,,%23NowUnitedLetTheMusicMoveYou,,2020-06-18 13:53:02.232209-03:00
20,#HYYHParty,http://twitter.com/search?q=%23HYYHParty,,%23HYYHParty,63455.0,2020-06-18 13:53:02.232209-03:00
21,Darkseid,http://twitter.com/search?q=Darkseid,,Darkseid,,2020-06-18 13:53:02.232209-03:00
22,Tirei Rio de Janeiro,http://twitter.com/search?q=%22Tirei+Rio+de+Janeiro%22,,%22Tirei+Rio+de+Janeiro%22,,2020-06-18 13:53:02.232209-03:00
23,André Ceciliano,http://twitter.com/search?q=%22Andr%C3%A9+Ceciliano%22,,%22Andr%C3%A9+Ceciliano%22,15294.0,2020-06-18 13:53:02.232209-03:00
24,Sítio,http://twitter.com/search?q=S%C3%ADtio,,S%C3%ADtio,75689.0,2020-06-18 13:53:02.232209-03:00
25,Werner,http://twitter.com/search?q=Werner,,Werner,172670.0,2020-06-18 13:53:02.232209-03:00
26,#SnyderCut,http://twitter.com/search?q=%23SnyderCut,,%23SnyderCut,,2020-06-18 13:53:02.232209-03:00
27,#QuintaDetremuraSDV,http://twitter.com/search?q=%23QuintaDetremuraSDV,,%23QuintaDetremuraSDV,,2020-06-18 13:53:02.232209-03:00
28,#BrilhaThelminha,http://twitter.com/search?q=%23BrilhaThelminha,,%23BrilhaThelminha,,2020-06-18 13:53:02.232209-03:00
